"","outer_sum_original","outer_sum_radiusPenalty","seeds_no","f1","prec","rec","mcc","det_rate","time_vector","TP","TN","FP","FN","TPR","FPR","Prec..PPV.","aucroc","aucpr","negf1","AR"
"1",1,1,2,0.5,0.5,0.5,0.491525424,0.5,2.19,1,117,1,1,"0.5","0.008474576","0.5",0.745762712,0.5,0.991525423728814,0.664772727272727
"2",1.5,3.5,3,0,0,0,-0.018486847,0,0.92,0,130,3,2,"0","0.022556391","0",0.4887218045,0.5,0.981132075471698,0
"3",2,2,2,0,0,0,-0.015384615,0,0.75,0,128,2,2,"0","0.015384615","0",0.4923076925,0.5,0.984615384615385,0
"4",1,3,1,0,0,0,-0.011091956,0,0.72,0,126,1,2,"0","0.007874016","0",0.496062992,0.5,0.988235294117647,0
"5",2,5,3,0,0,0,-0.013570632,0,0.74,0,178,3,2,"0","0.016574586","0",0.491712707,0.5,0.986149584487535,0
"6",1,3,3,0,0,0,-0.018770174,0,0.72,0,128,3,2,"0","0.022900763","0",0.4885496185,0.5,0.980842911877395,0
"7",1,3,3,0,0,0,-0.021393127,0,0.75,0,112,3,2,"0","0.026086957","0",0.4869565215,0.5,0.978165938864629,0
"8",1.5,4.5,3,0,0,0,-0.017559179,0,0.74,0,137,3,2,"0","0.021428571","0",0.4892857145,0.5,0.982078853046595,0
"9",2,8,4,0,0,0,-0.017568209,0,0.73,0,158,4,2,"0","0.024691358","0",0.487654321,0.5,0.981366459627329,0
"10",1.5,1.5,2,0,0,0,-0.017699115,0,0.72,0,111,2,2,"0","0.017699115","0",0.4911504425,0.5,0.982300884955752,0
"11",2,2,2,0,0,0,-0.014388489,0,1.03,0,137,2,2,"0","0.014388489","0",0.4928057555,0.5,0.985611510791367,0
"12",4,4,0,0,0,0,-1,0,0.98,0,0,0,0,"0","0","0",0.5,0.5,0,0
"13",1,10,5,0,0,0,-0.021440279,0,1,0,144,5,2,"0","0.033557047","0",0.4832214765,0.5,0.976271186440678,0
"14",1.5,1.5,2,0,0,0,-0.011695906,0,1.26,0,169,2,2,"0","0.011695906","0",0.494152047,0.5,0.988304093567251,0
"15",1,7,4,0.333333333,0.25,0.5,0.341853821,0.5,1.06,1,149,3,1,"0.5","0.019736842","0.25",0.740131579,0.375,0.986754966887417,0.498327758824829
"16",1,1,2,0.5,0.5,0.5,0.490909091,0.5,1.02,1,109,1,1,"0.5","0.009090909","0.5",0.7454545455,0.5,0.990909090909091,0.664634146341463
"17",1,3,1,0,0,0,-0.008866586,0,0.92,0,158,1,2,"0","0.006289308","0",0.496855346,0.5,0.990595611285267,0
"18",0.5,3.5,1,0,0,0,-0.011268723,0,0.86,0,124,1,2,"0","0.008","0",0.496,0.5,0.98804780876494,0
"19",1.5,1.5,2,0,0,0,-0.010989011,0,0.88,0,180,2,2,"0","0.010989011","0",0.4945054945,0.5,0.989010989010989,0
"20",1.5,1.5,2,0,0,0,-0.012269939,0,0.89,0,161,2,2,"0","0.012269939","0",0.4938650305,0.5,0.987730061349693,0
"21",2,4,3,0,0,0,-0.014711716,0,0.92,0,164,3,2,"0","0.017964072","0",0.491017964,0.5,0.984984984984985,0
"22",1.5,5.5,4,0,0,0,-0.017568209,0,0.9,0,158,4,2,"0","0.024691358","0",0.487654321,0.5,0.981366459627329,0
"23",1.5,10.5,5,0,0,0,-0.021586645,0,0.83,0,143,5,2,"0","0.033783784","0",0.483108108,0.5,0.976109215017065,0
"24",1.5,3.5,3,0,0,0,-0.015454271,0,0.89,0,156,3,2,"0","0.018867925","0",0.4905660375,0.5,0.984227129337539,0
