"","outer_sum_original","outer_sum_radiusPenalty","seeds_no","f1","prec","rec","mcc","det_rate","time_vector","TP","TN","FP","FN","TPR","FPR","Prec..PPV.","aucroc","aucpr","negf1","AR"
"1",1.666666667,4.666666667,4,0,0,0,-0.023171378,0,0.8,0,146,4,3,"0","0.026666667","0",0.4866666665,0.5,0.976588628762542,0
"2",0.666666667,3.666666667,2,0,0,0,-0.013570632,0,0.79,0,178,2,3,"0","0.011111111","0",0.4944444445,0.5,0.986149584487535,0
"3",1,3,2,0,0,0,-0.016384638,0,0.89,0,147,2,3,"0","0.013422819","0",0.4932885905,0.5,0.983277591973244,0
"4",1.333333333,1.333333333,3,0,0,0,-0.01744186,0,0.78,0,169,3,3,"0","0.01744186","0",0.49127907,0.5,0.982558139534884,0
"5",0.666666667,3.666666667,2,0,0,0,-0.016494974,0,0.87,0,146,2,3,"0","0.013513514","0",0.493243243,0.5,0.983164983164983,0
"6",1.333333333,1.333333333,3,0,0,0,-0.019230769,0,0.89,0,153,3,3,"0","0.019230769","0",0.4903846155,0.5,0.980769230769231,0
"7",1.333333333,1.333333333,3,0.333333333,0.333333333,0.333333333,0.319910515,0.333333333,0.94,1,147,2,2,"0.333333333","0.013422819","0.333333333",0.659955257,0.5,0.986577181208054,0.498305084373301
"8",6,6,0,0,0,0,-1,0,0.94,0,0,0,0,"0","0","0",0.5,0.5,0,0
"9",1,4,2,0,0,0,-0.0142,0,0.89,0,170,2,3,"0","0.011627907","0",0.4941860465,0.5,0.985507246376811,0
"10",0.333333333,3.333333333,2,0.4,0.5,0.333333333,0.394035565,0.333333333,0.91,1,99,1,2,"0.333333333","0.01","0.5",0.6616666665,0.5833333335,0.985074626865672,0.568965517241379
"11",0.666666667,0.666666667,3,0.333333333,0.333333333,0.333333333,0.320910973,0.333333333,0.96,1,159,2,2,"0.333333333","0.01242236","0.333333333",0.6604554865,0.5,0.987577639751553,0.498432601508225
"12",1.333333333,1.333333333,3,0,0,0,-0.017751479,0,0.84,0,166,3,3,"0","0.017751479","0",0.4911242605,0.5,0.982248520710059,0
"13",1.333333333,1.333333333,3,0,0,0,-0.016853933,0,1,0,175,3,3,"0","0.016853933","0",0.4915730335,0.5,0.98314606741573,0
"14",1.333333333,1.333333333,3,0.333333333,0.333333333,0.333333333,0.31884058,0.333333333,0.87,1,136,2,2,"0.333333333","0.014492754","0.333333333",0.6594202895,0.5,0.985507246376812,0.49816849779624
"15",1,4,2,0,0,0,-0.014118155,0,0.94,0,171,2,3,"0","0.011560694","0",0.494219653,0.5,0.985590778097983,0
"16",2,2,3,0,0,0,-0.022222222,0,0.81,0,132,3,3,"0","0.022222222","0",0.488888889,0.5,0.977777777777778,0
"17",1.333333333,1.333333333,3,0,0,0,-0.02027027,0,0.94,0,145,3,3,"0","0.02027027","0",0.489864865,0.5,0.97972972972973,0
"18",0.666666667,6.666666667,1,0,0,0,-0.010962566,0,0.86,0,156,1,3,"0","0.006369427","0",0.4968152865,0.5,0.987341772151899,0
"19",1,4,2,0,0,0,-0.0142,0,0.89,0,170,2,3,"0","0.011627907","0",0.4941860465,0.5,0.985507246376811,0
"20",1.333333333,1.333333333,3,0,0,0,-0.02173913,0,1.11,0,135,3,3,"0","0.02173913","0",0.489130435,0.5,0.978260869565217,0
"21",1.333333333,4.333333333,4,0,0,0,-0.019406808,0,1.09,0,175,4,3,"0","0.022346369","0",0.4888268155,0.5,0.980392156862745,0
"22",2,2,3,0,0,0,-0.022058824,0,0.86,0,133,3,3,"0","0.022058824","0",0.488970588,0.5,0.977941176470588,0
"23",1.666666667,7.666666667,5,0,0,0,-0.025649459,0,0.94,0,147,5,3,"0","0.032894737","0",0.4835526315,0.5,0.973509933774834,0
"24",0.333333333,4.333333333,1,0,0,0,-0.011547262,0,0.92,0,148,1,3,"0","0.006711409","0",0.4966442955,0.5,0.986666666666667,0
"25",1.666666667,1.666666667,3,0,0,0,-0.019480519,0,0.9,0,151,3,3,"0","0.019480519","0",0.4902597405,0.5,0.980519480519481,0
"26",0.666666667,3.666666667,2,0,0,0,-0.0142828,0,0.95,0,169,2,3,"0","0.011695906","0",0.494152047,0.5,0.985422740524781,0
"27",0.666666667,3.666666667,2,0.4,0.5,0.333333333,0.39971951,0.333333333,1.03,1,166,1,2,"0.333333333","0.005988024","0.5",0.6636726545,0.5833333335,0.991044776119403,0.569957081545064
"28",1.333333333,3.333333333,2,0,0,0,-0.015552394,0,1.03,0,155,2,3,"0","0.012738854","0",0.493630573,0.5,0.984126984126984,0
"29",1.666666667,4.666666667,2,0,0,0,-0.013646235,0,1.08,0,177,2,3,"0","0.011173184","0",0.494413408,0.5,0.986072423398329,0
"30",1.666666667,4.666666667,4,0,0,0,-0.023017414,0,0.98,0,147,4,3,"0","0.026490066","0",0.486754967,0.5,0.976744186046512,0
"31",6,6,0,0,0,0,-1,0,0.98,0,0,0,0,"0","0","0",0.5,0.5,0,0
"32",1.333333333,4.333333333,4,0,0,0,-0.020437267,0,1.23,0,166,4,3,"0","0.023529412","0",0.488235294,0.5,0.979351032448378,0
"33",0,6,1,0.5,1,0.333333333,0.573903371,0.333333333,0.9,1,166,0,2,"0.333333333","0","1",0.6666666665,0.8333333335,0.994011976047904,0.665330661322645
"34",1.333333333,1.333333333,3,0,0,0,-0.022727273,0,0.94,0,129,3,3,"0","0.022727273","0",0.4886363635,0.5,0.977272727272727,0
"35",1,4,2,0,0,0,-0.015651772,0,0.93,0,154,2,3,"0","0.012820513","0",0.4935897435,0.5,0.984025559105431,0
"36",1,4,2,0,0,0,-0.0142,0,0.88,0,170,2,3,"0","0.011627907","0",0.4941860465,0.5,0.985507246376811,0
"37",0.666666667,3.666666667,2,0.4,0.5,0.333333333,0.398818984,0.333333333,1.1,1,150,1,2,"0.333333333","0.006622517","0.5",0.663355408,0.5833333335,0.99009900990099,0.56980056980057
"38",0.666666667,4.666666667,1,0,0,0,-0.010070233,0,0.86,0,170,1,3,"0","0.005847953","0",0.4970760235,0.5,0.988372093023256,0
"39",1,4,2,0,0,0,-0.014981659,0,1.04,0,161,2,3,"0","0.012269939","0",0.4938650305,0.5,0.984709480122324,0
