"","outer_sum_original","outer_sum_radiusPenalty","seeds_no","f1","prec","rec","mcc","det_rate","time_vector","TP","TN","FP","FN","TPR","FPR","Prec..PPV.","aucroc","aucpr","negf1","AR"
"88",0,8,1,0.333333333,1,0.2,0.4,0.2,0.1,1,16,0,4,0.2,0,1,0.6,0.9,0.888888888888889,0.484848484495868
"89",0.2,4.2,3,0.5,0.666666667,0.4,0.416630545,0.4,0.07,2,16,1,3,0.4,0.058823529,0.666666667,0.6705882355,0.6333333335,0.888888888888889,0.64
"90",0.4,9.4,2,0,0,0,-0.140859042,0,0.09,0,19,2,5,0,0.095238095,0,0.4523809525,0.5,0.844444444444444,0
"91",0.8,0.8,5,0.6,0.6,0.6,0.528571429,0.6,0.08,3,26,2,2,0.6,0.071428571,0.6,0.7642857145,0.5,0.928571428571429,0.728971962616823
"92",0.2,6.2,2,0.285714286,0.5,0.2,0.205798302,0.2,0.1,1,16,1,4,0.2,0.058823529,0.5,0.5705882355,0.65,0.864864864864865,0.42953020166515
"93",0,4,3,0.75,1,0.6,0.732695097,0.6,0.09,3,17,0,2,0.6,0,1,0.8,0.7,0.944444444444444,0.836065573770492
"94",0.2,0.2,5,0.8,0.8,0.8,0.7375,0.8,0.09,4,15,1,1,0.8,0.0625,0.8,0.86875,0.5,0.9375,0.863309352517986
"95",0.2,6.2,2,0.285714286,0.5,0.2,0.199505969,0.2,0.09,1,15,1,4,0.2,0.0625,0.5,0.56875,0.65,0.857142857142857,0.428571428892857
"96",0.4,3.4,4,0.444444444,0.5,0.4,0.288675135,0.4,0.07,2,13,2,3,0.4,0.133333333,0.5,0.6333333335,0.55,0.838709677419355,0.581005586212415
"97",1.4,5.4,7,0.166666667,0.142857143,0.2,-0.027066598,0.2,0.09,1,20,6,4,0.2,0.230769231,0.142857143,0.4846153845,0.4714285715,0.8,0.275862069422116
"98",0.4,2.4,4,0.444444444,0.5,0.4,0.288675135,0.4,0.1,2,13,2,3,0.4,0.133333333,0.5,0.6333333335,0.55,0.838709677419355,0.581005586212415
"99",0.4,4.4,3,0.25,0.333333333,0.2,0.091287093,0.2,0.09,1,14,2,4,0.2,0.125,0.333333333,0.5375,0.5666666665,0.823529411764706,0.383561643835616
"100",0.2,4.2,3,0.5,0.666666667,0.4,0.426561704,0.4,0.08,2,18,1,3,0.4,0.052631579,0.666666667,0.6736842105,0.6333333335,0.9,0.642857142857143
