"outer_sum_original","outer_sum_radiusPenalty","det_rate","time_vector"
1.5,1.5,0,11.04
1.25,1.25,0,10.85
1.5,1.5,0,6.18000000000006
1.5,1.5,0,4.63999999999999
1,1,0,4.67000000000007
1.25,1.25,0,3.51999999999998
1.5,1.5,0,10.14
1.25,1.25,0,5.2600000000001
1.25,1.25,0,3.63
1.5,1.5,0,8.36000000000001
1.25,1.25,0,10.9100000000001
1,1,0,5.82000000000005
1.5,1.5,0,7.92000000000007
1.5,1.5,0,10.63
1.75,1.75,0,4.19999999999993
1.25,1.25,0,10.37
1.5,1.5,0,10
1.25,1.25,0,3.36000000000001
1,1,0,4.11000000000001
1.25,1.25,0,8.29000000000008
1,1,0,4.66000000000008
1.25,1.25,0,8.66999999999996
1.5,1.5,0,13.61
1.5,1.5,0,10.2499999999999
1,1,0,3.7800000000002
1.5,1.5,0,7.79999999999995
1.25,1.25,0.25,11.98
1.5,1.5,0,6.26999999999998
1.25,1.25,0,5.32999999999993
1,1,0,11.1099999999999
1.5,1.5,0.25,11.72
1.5,1.5,0,11.6000000000001
1.25,1.25,0,7.2800000000002
1.5,1.5,0,10.71
1.25,1.25,0,7.21000000000004
1.5,1.5,0,9.77999999999997
1.25,1.25,0,4.8599999999999
1.5,1.5,0,11.3299999999999
1,1,0,5.02999999999997
1.25,1.25,0.25,7.25
2,2,0,12.76
1.5,1.5,0.25,8.11999999999989
1.5,1.5,0,9.48000000000002
1.25,1.25,0,9.26999999999998
1.5,1.5,0,9.88999999999987
0.75,0.75,0.25,5.29000000000019
1,1,0,3.50999999999999
1.5,1.5,0,8.15999999999985
1.25,1.25,0,9.8599999999999
1,1,0.25,4.61000000000013
1,1,0,4.91000000000008
1.75,1.75,0,9.26999999999998
1,1,0,9.62999999999988
1.25,1.25,0,9.33000000000015
1.25,1.25,0,11.8599999999999
1.25,1.25,0,10.77
1.5,1.5,0,4.23000000000002
1.25,1.25,0,9.97000000000003
1.25,1.25,0,4.41999999999985
0.75,0.75,0.25,9.83999999999992
1.25,1.25,0,9.49000000000001
1.75,1.75,0,7.71000000000004
1.75,1.75,0,9.72000000000003
1.75,1.75,0,3.79999999999995
1,1,0,8.33999999999992
2.25,2.25,0,5.19000000000005
1.75,1.75,0,7.79999999999995
1.5,1.5,0,8.06000000000017
1,1,0,4.21000000000004
1.25,1.25,0,9.91999999999985
1.5,1.5,0,7.82999999999993
1.25,1.25,0,8.22000000000003
1.25,1.25,0,4.07999999999993
1.5,1.5,0.25,8.12000000000012
1.75,1.75,0,8.91999999999985
1.75,1.75,0,3.7800000000002
1.25,1.25,0,4.34000000000015
1,1,0,7.90000000000009
1.75,1.75,0,7.72000000000003
1.25,1.25,0,7.05999999999995
1.25,1.25,0,7.49000000000001
2,2,0,7.62999999999988
1.75,1.75,0,8.36000000000013
1.5,1.5,0,4.16999999999985
1.25,1.25,0,2.6400000000001
1.25,1.25,0,4.17999999999984
1.25,1.25,0,4.0300000000002
1,1,0,3.58000000000015
1.25,1.25,0,5.22000000000003
1.5,1.5,0,8.67999999999984
1.5,1.5,0,8.1400000000001
1.5,1.5,0,6.72000000000003
1.25,1.25,0,4.3599999999999
1,1,0,4.21000000000004
1,1,0,3
1,1,0,6.31999999999994
1,1,0,4.26999999999998
1.25,1.25,0,7.98000000000002
1.5,1.5,0.25,4.03999999999996
1.25,1.25,0,6.80999999999995
