"","outer_sum_original","outer_sum_radiusPenalty","seeds_no","f1","prec","rec","mcc","det_rate","time_vector","TP","TN","FP","FN","TPR","FPR","Prec..PPV.","aucroc","aucpr","negf1","AR"
"86",1.333333333,5.333333333,5,0,0,0,-0.024827326,0,0.89,0,152,5,3,0,0.031847134,0,0.484076433,0.5,0.974358974358974,0
"87",1,7,6,0,0,0,-0.029774567,0,0.89,0,138,6,3,0,0.041666667,0,0.4791666665,0.5,0.968421052631579,0
"88",1,5,5,0,0,0,-0.023331648,0,0.88,0,162,5,3,0,0.02994012,0,0.48502994,0.5,0.975903614457831,0
"89",1.666666667,1.666666667,3,0,0,0,-0.020689655,0,0.88,0,142,3,3,0,0.020689655,0,0.4896551725,0.5,0.979310344827586,0
"90",1.666666667,1.666666667,3,0,0,0,-0.020547945,0,0.96,0,143,3,3,0,0.020547945,0,0.4897260275,0.5,0.979452054794521,0
"91",1,4,2,0,0,0,-0.016062314,0,1.14,0,150,2,3,0,0.013157895,0,0.4934210525,0.5,0.983606557377049,0
"92",1,4,4,0,0,0,-0.019626717,0,0.97,0,173,4,3,0,0.02259887,0,0.488700565,0.5,0.980169971671388,0
"93",1.666666667,4.666666667,4,0,0,0,-0.020805509,0,0.94,0,163,4,3,0,0.023952096,0,0.488023952,0.5,0.978978978978979,0
"94",1,9,7,0,0,0,-0.034720468,0,0.92,0,127,7,3,0,0.052238806,0,0.473880597,0.5,0.962121212121212,0
"95",1.666666667,3.666666667,4,0,0,0,-0.025948509,0,1.03,0,130,4,3,0,0.029850746,0,0.485074627,0.5,0.97378277153558,0
"96",1.666666667,3.666666667,4,0,0,0,-0.022421487,0,1.04,0,151,4,3,0,0.025806452,0,0.487096774,0.5,0.977346278317152,0
"97",1.666666667,4.666666667,4,0,0,0,-0.022277296,0,0.85,0,152,4,3,0,0.025641026,0,0.487179487,0.5,0.977491961414791,0
"98",1,7,5,0,0,0,-0.030984858,0,0.82,0,121,5,3,0,0.03968254,0,0.48015873,0.5,0.968,0
"99",1.333333333,3.333333333,4,0,0,0,-0.022134948,0,0.89,0,153,4,3,0,0.025477707,0,0.4872611465,0.5,0.977635782747604,0
"100",1.333333333,1.333333333,3,0,0,0,-0.020979021,0,0.87,0,140,3,3,0,0.020979021,0,0.4895104895,0.5,0.979020979020979,0
