"","outer_sum_original","outer_sum_radiusPenalty","seeds_no","f1","prec","rec","mcc","det_rate","time_vector","TP","TN","FP","FN","TPR","FPR","Prec..PPV.","aucroc","aucpr","negf1","AR"
"1",1.25,4.25,5,0.222222222,0.2,0.25,0.203745712,0.25,0.91,1,171,4,3,0.25,0.022857143,0.2,0.6135714285,0.475,0.979942693409742,0.362288135297902
"2",0.75,3.75,3,0,0,0,-0.019191772,0,0.95,0,177,3,4,0,0.016666667,0,0.4916666665,0.5,0.980609418282548,0
"3",0.5,6.5,2,0.333333333,0.5,0.25,0.341024613,0.25,1.03,1,139,1,3,0.25,0.007142857,0.5,0.6214285715,0.625,0.985815602836879,0.498207884932343
"4",1.75,3.75,5,0,0,0,-0.028038608,0,0.91,0,155,5,4,0,0.03125,0,0.484375,0.5,0.971786833855799,0
"5",1.5,1.5,4,0,0,0,-0.02484472,0,0.91,0,157,4,4,0,0.02484472,0,0.48757764,0.5,0.975155279503106,0
"6",1.25,3.25,3,0,0,0,-0.023973165,0,0.91,0,141,3,4,0,0.020833333,0,0.4895833335,0.5,0.975778546712803,0
"7",1,4,3,0.285714286,0.333333333,0.25,0.274774035,0.25,1.07,1,174,2,3,0.25,0.011363636,0.333333333,0.619318182,0.5416666665,0.985835694050991,0.443029917593641
"8",0.75,4.75,2,0,0,0,-0.016936993,0,1.19,0,164,2,4,0,0.012048193,0,0.4939759035,0.5,0.982035928143713,0
"9",0.5,6.5,1,0,0,0,-0.01413507,0,0.92,0,139,1,4,0,0.007142857,0,0.4964285715,0.5,0.982332155477032,0
"10",1.5,4.5,3,0,0,0,-0.021058466,0,0.91,0,161,3,4,0,0.018292683,0,0.4908536585,0.5,0.978723404255319,0
"11",2,2,4,0,0,0,-0.02247191,0,0.89,0,174,4,4,0,0.02247191,0,0.488764045,0.5,0.97752808988764,0
"12",1.5,1.5,4,0,0,0,-0.022857143,0,0.89,0,171,4,4,0,0.022857143,0,0.4885714285,0.5,0.977142857142857,0
"13",1.5,4.5,5,0,0,0,-0.028394657,0,0.86,0,153,5,4,0,0.03164557,0,0.484177215,0.5,0.971428571428571,0
"14",1.5,4.5,3,0,0,0,-0.019298691,0,1.02,0,176,3,4,0,0.016759777,0,0.4916201115,0.5,0.98050139275766,0
"15",1,3,3,0,0,0,-0.022277296,0,1.03,0,152,3,4,0,0.019354839,0,0.4903225805,0.5,0.977491961414791,0
"16",1.5,1.5,4,0,0,0,-0.022727273,0,0.98,0,172,4,4,0,0.022727273,0,0.4886363635,0.5,0.977272727272727,0
"17",0.75,3.75,3,0,0,0,-0.019851667,0,0.92,0,171,3,4,0,0.017241379,0,0.4913793105,0.5,0.979942693409742,0
"18",1.75,1.75,4,0,0,0,-0.028985507,0,0.92,0,134,4,4,0,0.028985507,0,0.4855072465,0.5,0.971014492753623,0
"19",1.25,3.25,3,0,0,0,-0.022567557,0,0.89,0,150,3,4,0,0.019607843,0,0.4901960785,0.5,0.977198697068404,0
"20",1.25,4.25,3,0,0,0,-0.020805509,0,1.08,0,163,3,4,0,0.018072289,0,0.4909638555,0.5,0.978978978978979,0
"21",1.5,3.5,5,0,0,0,-0.028759865,0,1.04,0,151,5,4,0,0.032051282,0,0.483974359,0.5,0.971061093247588,0
"22",1,4,5,0.222222222,0.2,0.25,0.201319058,0.25,0.9,1,152,4,3,0.25,0.025641026,0.2,0.612179487,0.475,0.977491961414791,0.362120309413115
"23",1.25,1.25,4,0.25,0.25,0.25,0.233783784,0.25,1.11,1,182,3,3,0.25,0.016216216,0.25,0.616891892,0.5,0.983783783783784,0.3986856516977
"24",1.5,1.5,4,0,0,0,-0.023121387,0,0.94,0,169,4,4,0,0.023121387,0,0.4884393065,0.5,0.976878612716763,0
"25",0.75,4.75,2,0,0,0,-0.01911143,0,0.91,0,145,2,4,0,0.013605442,0,0.493197279,0.5,0.97972972972973,0
"26",1.5,4.5,5,0,0,0,-0.028759865,0,1,0,151,5,4,0,0.032051282,0,0.483974359,0.5,0.971061093247588,0
"27",1.5,1.5,4,0,0,0,-0.022988506,0,0.97,0,170,4,4,0,0.022988506,0,0.488505747,0.5,0.977011494252874,0
"28",1.25,1.25,4,0,0,0,-0.027972028,0,1.09,0,139,4,4,0,0.027972028,0,0.486013986,0.5,0.972027972027972,0
"29",0.5,2.5,3,0.285714286,0.333333333,0.25,0.27279476,0.25,0.97,1,152,2,3,0.25,0.012987013,0.333333333,0.6185064935,0.5416666665,0.983818770226537,0.442825928966618
"30",1.25,4.25,5,0,0,0,-0.025628391,0,1.17,0,170,5,4,0,0.028571429,0,0.4857142855,0.5,0.974212034383954,0
"31",1,4,3,0,0,0,-0.020198929,0,1.05,0,168,3,4,0,0.01754386,0,0.49122807,0.5,0.979591836734694,0
"32",1.25,4.25,3,0,0,0,-0.019406808,0,0.9,0,175,3,4,0,0.016853933,0,0.4915730335,0.5,0.980392156862745,0
"33",0.75,2.75,3,0.285714286,0.333333333,0.25,0.274614722,0.25,1,1,172,2,3,0.25,0.011494253,0.333333333,0.6192528735,0.5416666665,0.98567335243553,0.443013522558524
"34",1,10,7,0.181818182,0.142857143,0.25,0.163296495,0.25,1.11,1,161,6,3,0.25,0.035928144,0.142857143,0.607035928,0.4464285715,0.972809667673716,0.306374881323782
"35",1.5,4.5,5,0.222222222,0.2,0.25,0.201461466,0.25,1.22,1,153,4,3,0.25,0.025477707,0.2,0.6122611465,0.475,0.977635782747604,0.362130177219732
"36",1.75,4.75,5,0,0,0,-0.026859797,0,1.17,0,162,5,4,0,0.02994012,0,0.48502994,0.5,0.972972972972973,0
"37",1.5,3.5,3,0,0,0,-0.021058466,0,1.35,0,161,3,4,0,0.018292683,0,0.4908536585,0.5,0.978723404255319,0
"38",1.75,1.75,4,0,0,0,-0.024242424,0,1.2,0,161,4,4,0,0.024242424,0,0.487878788,0.5,0.975757575757576,0
"39",1.5,3.5,5,0,0,0,-0.028038608,0,1.27,0,155,5,4,0,0.03125,0,0.484375,0.5,0.971786833855799,0
"40",1.25,1.25,4,0,0,0,-0.022099448,0,1.05,0,177,4,4,0,0.022099448,0,0.488950276,0.5,0.977900552486188,0
"41",1.25,4.25,5,0,0,0,-0.025628391,0,1.08,0,170,5,4,0,0.028571429,0,0.4857142855,0.5,0.974212034383954,0
"42",0.75,6.75,6,0.4,0.333333333,0.5,0.390615374,0.5,1.29,2,159,4,2,0.5,0.024539877,0.333333333,0.7377300615,0.4166666665,0.981481481481482,0.568364611260054
"43",1.25,4.25,3,0,0,0,-0.020081833,0,1.22,0,169,3,4,0,0.01744186,0,0.49127907,0.5,0.979710144927536,0
"44",1.5,4.5,5,0.222222222,0.2,0.25,0.204298925,0.25,1.35,1,176,4,3,0.25,0.022222222,0.2,0.613888889,0.475,0.98050139275766,0.362326299241418
"45",1.5,4.5,5,0,0,0,-0.026384398,0,1.1,0,165,5,4,0,0.029411765,0,0.4852941175,0.5,0.973451327433628,0
"46",1.25,3.25,5,0,0,0,-0.027022093,0,1.17,0,161,5,4,0,0.030120482,0,0.484939759,0.5,0.972809667673716,0
"47",1.75,3.75,5,0,0,0,-0.031383603,0,1.04,0,138,5,4,0,0.034965035,0,0.4825174825,0.5,0.968421052631579,0
"48",0.5,6.5,2,0,0,0,-0.017039027,0,1.07,0,163,2,4,0,0.012121212,0,0.493939394,0.5,0.981927710843373,0
"49",0.75,3.75,3,0.285714286,0.333333333,0.25,0.273097218,0.25,1.1,1,155,2,3,0.25,0.012738854,0.333333333,0.618630573,0.5416666665,0.984126984126984,0.442857143200357
"50",0.75,4.75,2,0,0,0,-0.017568209,0,1.05,0,158,2,4,0,0.0125,0,0.49375,0.5,0.981366459627329,0
"51",1.25,3.25,5,0,0,0,-0.026540983,0,1.1,0,164,5,4,0,0.029585799,0,0.4852071005,0.5,0.973293768545994,0
"52",0.75,3.75,3,0,0,0,-0.020317399,0,1.09,0,167,3,4,0,0.017647059,0,0.4911764705,0.5,0.979472140762463,0
"53",0.75,6.75,2,0,0,0,-0.015801515,0,1.03,0,176,2,4,0,0.011235955,0,0.4943820225,0.5,0.983240223463687,0
"54",1.5,4.5,3,0,0,0,-0.019516143,0,1.04,0,174,3,4,0,0.016949153,0,0.4915254235,0.5,0.980281690140845,0
"55",1.5,1.5,4,0,0,0,-0.023952096,0,1.19,0,163,4,4,0,0.023952096,0,0.488023952,0.5,0.976047904191617,0
"56",2,5,5,0,0,0,-0.025054081,0,1.16,0,174,5,4,0,0.027932961,0,0.4860335195,0.5,0.974789915966386,0
"57",0.75,2.75,3,0.285714286,0.333333333,0.25,0.273483017,0.25,1.12,1,159,2,3,0.25,0.01242236,0.333333333,0.61878882,0.5416666665,0.984520123839009,0.442896936276424
"58",1.75,1.75,4,0,0,0,-0.02259887,0,1.13,0,173,4,4,0,0.02259887,0,0.488700565,0.5,0.977401129943503,0
"59",1.5,3.5,5,0,0,0,-0.028946015,0,1.08,0,150,5,4,0,0.032258065,0,0.4838709675,0.5,0.970873786407767,0
