"","outer_sum_original","outer_sum_radiusPenalty","seeds_no","f1","prec","rec","mcc","det_rate","time_vector","TP","TN","FP","FN","TPR","FPR","PPV","aucroc","aucpr","negf1","AR"
"1",0,2,3,0.8,0.666666666666667,1,0.795822425754221,1,0.199999999999818,2,19,1,0,1,0.05,0.666666666666667,0.975,0.333333333333333,0.974358974358974,0.878612716763006
"2",0.5,2.5,3,0.4,0.333333333333333,0.5,0.338648105978078,0.5,0.2199999999998,1,19,2,1,0.5,0.0952380952380952,0.333333333333333,0.702380952380952,0.416666666666667,0.926829268292683,0.558823529411765
"3",1,1,2,0.5,0.5,0.5,0.444444444444444,0.5,0.129999999999882,1,17,1,1,0.5,0.0555555555555556,0.5,0.722222222222222,0.5,0.944444444444444,0.653846153846154
"4",0.5,2.5,3,0.4,0.333333333333333,0.5,0.335083126633356,0.5,0.259999999999991,1,18,2,1,0.5,0.1,0.333333333333333,0.7,0.416666666666667,0.923076923076923,0.558139534883721
"5",0.5,0.5,2,0.5,0.5,0.5,0.45,0.5,0.160000000000082,1,19,1,1,0.5,0.05,0.5,0.725,0.5,0.95,0.655172413793103
"6",0,2,3,0.8,0.666666666666667,1,0.795822425754221,1,0.200000000000045,2,19,1,0,1,0.05,0.666666666666667,0.975,0.333333333333333,0.974358974358974,0.878612716763006
"7",1.5,1.5,2,0.5,0.5,0.5,0.444444444444444,0.5,0.120000000000118,1,17,1,1,0.5,0.0555555555555556,0.5,0.722222222222222,0.5,0.944444444444444,0.653846153846154
"8",1.5,1.5,2,0.5,0.5,0.5,0.45,0.5,0.149999999999864,1,19,1,1,0.5,0.05,0.5,0.725,0.5,0.95,0.655172413793103
"9",0,2,3,0.8,0.666666666666667,1,0.8,1,0.279999999999973,2,24,1,0,1,0.04,0.666666666666667,0.98,0.333333333333333,0.979591836734694,0.880733944954128
"10",1,1,2,0.5,0.5,0.5,0.452380952380952,0.5,0.159999999999854,1,20,1,1,0.5,0.0476190476190476,0.5,0.726190476190476,0.5,0.952380952380952,0.655737704918033
"11",0.5,2.5,3,0.4,0.333333333333333,0.5,0.341881729378914,0.5,0.25,1,20,2,1,0.5,0.0909090909090909,0.333333333333333,0.704545454545455,0.416666666666667,0.930232558139535,0.559440559440559
