"","outer_sum_original","outer_sum_radiusPenalty","seeds_no","f1","prec","rec","mcc","det_rate","time_vector","TP","TN","FP","FN","TPR","FPR","PPV","aucroc","aucpr","negf1","AR"
"1",0.5,6.5,2,0.333333333333333,0.5,0.25,0.227866357593825,0.25,0.1099999999999,1,12,1,3,0.25,0.166666666666667,0.333333333333333,0.586538461538461,0.625,0.857142857142857,0.48
"2",0.75,2.75,3,0.285714285714286,0.333333333333333,0.25,0.148522131446501,0.25,0.190000000000055,1,15,2,3,0.25,0.166666666666667,0.333333333333333,0.566176470588235,0.541666666666667,0.857142857142857,0.428571428571429
"3",0.25,0.25,4,0.75,0.75,0.75,0.683333333333333,0.75,0.240000000000009,3,14,1,1,0.25,0.166666666666667,0.333333333333333,0.841666666666667,0.5,0.933333333333333,0.831683168316832
"4",0.25,2.25,3,0.571428571428572,0.666666666666667,0.5,0.484481395124954,0.5,0.25,2,14,1,2,0.25,0.166666666666667,0.333333333333333,0.716666666666667,0.583333333333333,0.903225806451613,0.7
"5",0.5,2.5,3,0.571428571428572,0.666666666666667,0.5,0.470756541762004,0.5,0.220000000000027,2,12,1,2,0.25,0.166666666666667,0.333333333333333,0.711538461538462,0.583333333333333,0.888888888888889,0.695652173913044
"6",1,3,3,0.285714285714286,0.333333333333333,0.25,0.0924500327042048,0.25,0.139999999999873,1,10,2,3,0.25,0.166666666666667,0.333333333333333,0.541666666666667,0.541666666666667,0.8,0.421052631578948
"7",1,1,4,0.25,0.25,0.25,0.0357142857142857,0.25,0.349999999999909,1,11,3,3,0.25,0.166666666666667,0.333333333333333,0.517857142857143,0.5,0.785714285714286,0.379310344827586
"8",0.25,4.25,2,0.333333333333333,0.5,0.25,0.236227795630767,0.25,0.1400000000001,1,13,1,3,0.25,0.166666666666667,0.333333333333333,0.589285714285714,0.625,0.866666666666667,0.481481481481481
"9",0.5,4.5,2,0.333333333333333,0.5,0.25,0.25,0.25,0.130000000000109,1,15,1,3,0.25,0.166666666666667,0.333333333333333,0.59375,0.625,0.882352941176471,0.483870967741935
"10",0.5,0.5,4,0.75,0.75,0.75,0.666666666666667,0.75,0.259999999999991,3,11,1,1,0.25,0.166666666666667,0.333333333333333,0.833333333333333,0.5,0.916666666666667,0.825
"11",0.75,6.75,7,0.363636363636364,0.285714285714286,0.5,0.0994490316197694,0.5,0.440000000000055,2,8,5,2,0.25,0.166666666666667,0.333333333333333,0.557692307692308,0.392857142857143,0.695652173913043,0.477611940298508
"12",1,4,3,0.285714285714286,0.333333333333333,0.25,0.119522860933439,0.25,0.189999999999827,1,12,2,3,0.25,0.166666666666667,0.333333333333333,0.553571428571429,0.541666666666667,0.827586206896552,0.424778761061947
