"","outer_sum_original","outer_sum_radiusPenalty","seeds_no","f1","prec","rec","mcc","det_rate","time_vector","TP","TN","FP","FN","TPR","FPR","PPV","aucroc","aucpr","negf1","AR"
"1",0.333333333333333,0.333333333333333,3,0.666666666666667,0.666666666666667,0.666666666666667,0.619047619047619,0.666666666666667,0.309999999999945,2,20,1,1,0.666666666666667,0.0476190476190476,0.666666666666667,0.809523809523809,0.5,0.952380952380952,0.784313725490196
"2",1,1,3,0.333333333333333,0.333333333333333,0.333333333333333,0.242424242424242,0.333333333333333,0.240000000000009,1,20,2,2,0.333333333333333,0.0909090909090909,0.333333333333333,0.621212121212121,0.5,0.909090909090909,0.48780487804878
"3",1.66666666666667,1.66666666666667,3,0.333333333333333,0.333333333333333,0.333333333333333,0.238095238095238,0.333333333333333,0.240000000000009,1,19,2,2,0.333333333333333,0.0952380952380952,0.333333333333333,0.619047619047619,0.5,0.904761904761905,0.487179487179487
"4",0,2,2,0.8,1,0.666666666666667,0.794719414239026,0.666666666666667,0.190000000000055,2,18,0,1,0.666666666666667,0,1,0.833333333333333,0.666666666666667,0.972972972972973,0.878048780487805
"5",0.333333333333333,2.33333333333333,2,0.4,0.5,0.333333333333333,0.326732019606536,0.333333333333333,0.129999999999882,1,16,1,2,0.333333333333333,0.0588235294117647,0.5,0.637254901960784,0.583333333333333,0.914285714285714,0.556521739130435
"6",0.666666666666667,2.66666666666667,2,0.4,0.5,0.333333333333333,0.331133089266261,0.333333333333333,0.120000000000118,1,17,1,2,0.333333333333333,0.0555555555555556,0.5,0.638888888888889,0.583333333333333,0.918918918918919,0.557377049180328
"7",0.666666666666667,0.666666666666667,3,0.333333333333333,0.333333333333333,0.333333333333333,0.233333333333333,0.333333333333333,0.220000000000027,1,18,2,2,0.333333333333333,0.1,0.333333333333333,0.616666666666667,0.5,0.9,0.486486486486486
"8",0.666666666666667,0.666666666666667,3,0.666666666666667,0.666666666666667,0.666666666666667,0.611111111111111,0.666666666666667,0.220000000000027,2,17,1,1,0.666666666666667,0.0555555555555556,0.666666666666667,0.805555555555555,0.5,0.944444444444444,0.781609195402299
"9",0,2,2,0.8,1,0.666666666666667,0.801233616769775,0.666666666666667,0.200000000000045,2,26,0,1,0.666666666666667,0,1,0.833333333333333,0.666666666666667,0.981132075471698,0.88135593220339
"10",0.333333333333333,0.333333333333333,3,0.666666666666667,0.666666666666667,0.666666666666667,0.611111111111111,0.666666666666667,0.220000000000027,2,17,1,1,0.666666666666667,0.0555555555555556,0.666666666666667,0.805555555555555,0.5,0.944444444444444,0.781609195402299
"11",1,1,3,0.666666666666667,0.666666666666667,0.666666666666667,0.611111111111111,0.666666666666667,0.220000000000027,2,17,1,1,0.666666666666667,0.0555555555555556,0.666666666666667,0.805555555555555,0.5,0.944444444444444,0.781609195402299
"12",0.666666666666667,0.666666666666667,3,0.666666666666667,0.666666666666667,0.666666666666667,0.619047619047619,0.666666666666667,0.269999999999982,2,20,1,1,0.666666666666667,0.0476190476190476,0.666666666666667,0.809523809523809,0.5,0.952380952380952,0.784313725490196
"13",0.333333333333333,2.33333333333333,4,0.571428571428572,0.5,0.666666666666667,0.495073771488337,0.666666666666667,0.279999999999973,2,16,2,1,0.666666666666667,0.111111111111111,0.5,0.777777777777778,0.416666666666667,0.914285714285714,0.703296703296704
"14",0.333333333333333,4.33333333333333,5,0.5,0.4,0.666666666666667,0.404226041727222,0.666666666666667,0.329999999999927,2,14,3,1,0.666666666666667,0.176470588235294,0.4,0.745098039215686,0.366666666666667,0.875,0.636363636363636
"15",1,1,3,0.333333333333333,0.333333333333333,0.333333333333333,0.253333333333333,0.333333333333333,0.339999999999918,1,23,2,2,0.333333333333333,0.08,0.333333333333333,0.626666666666667,0.5,0.92,0.489361702127659
"16",0.333333333333333,2.33333333333333,2,0.4,0.5,0.333333333333333,0.338648105978078,0.333333333333333,0.150000000000091,1,19,1,2,0.333333333333333,0.05,0.5,0.641666666666667,0.583333333333333,0.926829268292683,0.558823529411765
"17",0.333333333333333,2.33333333333333,2,0.4,0.5,0.333333333333333,0.331133089266261,0.333333333333333,0.149999999999864,1,17,1,2,0.333333333333333,0.0555555555555556,0.5,0.638888888888889,0.583333333333333,0.918918918918919,0.557377049180328
"18",0.666666666666667,0.666666666666667,3,0.666666666666667,0.666666666666667,0.666666666666667,0.62962962962963,0.666666666666667,0.329999999999927,2,26,1,1,0.666666666666667,0.037037037037037,0.666666666666667,0.814814814814815,0.5,0.962962962962963,0.787878787878788
"19",0.666666666666667,2.66666666666667,2,0.4,0.5,0.333333333333333,0.338648105978078,0.333333333333333,0.1400000000001,1,19,1,2,0.333333333333333,0.05,0.5,0.641666666666667,0.583333333333333,0.926829268292683,0.558823529411765
"20",0.666666666666667,2.66666666666667,2,0.4,0.5,0.333333333333333,0.354391792032785,0.333333333333333,0.200000000000045,1,25,1,2,0.333333333333333,0.0384615384615385,0.5,0.647435897435897,0.583333333333333,0.943396226415094,0.561797752808989
"21",0,2,4,0.857142857142857,0.75,1,0.842927230423525,1,0.299999999999955,3,18,1,0,1,0.0526315789473684,0.75,0.973684210526316,0.375,0.972972972972973,0.911392405063291
